시설명,카테고리,시군구,위도,경도
가원별장 펜션,펜션,양평군,37.62218608,127.631772
가원펫 부천점,반려동물용품,부천시,37.48415713,126.773728
가이아펫,미용,용인시,37.32260554,127.078584
가일미술관,미술관,가평군,37.66041649,127.379434
가좌동물병원,동물병원,고양시,37.68542381,126.720188
가평 퓨어향기 독채펜션,펜션,가평군,37.97137565,127.454239
가평가축병원,동물병원,가평군,37.82502832,127.514102
가평문화예술회관,문예회관,가평군,37.82543108,127.506125
가평온누리약국,동물약국,가평군,37.82973599,127.513369
가평중앙약국,동물약국,가평군,37.82936179,127.513687
가평축산농협 동물병원,동물병원,가평군,37.82492834,127.515476
가평휴게소 반려견놀이터,여행지,가평군,37.70194035,127.546805
가평힐링타임펜션,펜션,가평군,37.76246255,127.364275
가학산근린공원,여행지,광명시,37.42592096,126.865928
간식곳간,반려동물용품,고양시,37.65490653,126.77154
간식멍는날,반려동물용품,군포시,37.31630762,126.922423
간식뭐멍냥,반려동물용품,시흥시,37.44583575,126.802044
간식세끼,반려동물용품,이천시,37.27537239,127.446625
간식주까,반려동물용품,부천시,37.49004877,126.787739
갈매365약국,동물약국,구리시,37.6320617,127.11725
갈매구릉산자락길,여행지,구리시,37.62707172,127.121305
갈매동물병원,동물병원,구리시,37.63053607,127.117141
갈매메디칼센터약국,동물약국,구리시,37.63274415,127.117651
감사약국,동물약국,파주시,37.85808369,126.785772
감악산 출렁다리,여행지,파주시,37.93841476,126.947316
감일튼튼약국,동물약국,하남시,37.5093564,127.162964
감초당약국,동물약국,하남시,37.54011919,127.218868
감초온누리약국,동물약국,가평군,37.67689998,127.493761
강남2층약국,동물약국,용인시,37.27123063,127.128157
강남대약국,동물약국,용인시,37.27105025,127.126133
강남동물메디컬센터,동물병원,광주시,37.46176824,127.328233
강남동물병원,동물병원,고양시,37.67877367,126.811183
강남동물병원,동물병원,성남시,37.44605036,127.163685
강남동물병원,동물병원,군포시,37.35987307,126.930365
강남동물병원,동물병원,용인시,37.33794222,127.092838
강남동물병원,동물병원,평택시,36.95915377,127.043335
강남동물병원,동물병원,화성시,37.12571767,126.920807
강남애니동물메디컬센터,동물병원,하남시,37.54714391,127.211452
강남애니펫샵,미용,하남시,37.54714391,127.211452
강남종합동물병원,동물병원,용인시,37.27429095,127.105489
강남효약국,동물약국,용인시,37.2736556,127.110547
강냥이와나드리,반려동물용품,용인시,37.27579789,127.227549
강냥이와친구들,미용,용인시,37.28163944,127.233134
강변애견미용,미용,안성시,37.00536704,127.276194
강사모애견백화점,미용,부천시,37.52710561,126.811036
강산동물병원,동물병원,여주시,37.29195144,127.634321
강산동물병원,동물병원,안성시,37.02226322,127.173097
강산약국,동물약국,파주시,37.71450879,126.76006
강생이꼬까,미용,구리시,37.59344754,127.132619
강아지 고양이 편의점 미금점,반려동물용품,성남시,37.34726806,127.11312
강아지 고양이 편의점 백석점,반려동물용품,고양시,37.64280309,126.786193
강아지 고양이 편의점 삼송점,반려동물용품,고양시,37.64906411,126.896975
강아지간식과 아이스크림,반려동물용품,고양시,37.71459778,126.851706
강아지고양이대통령24 동탄점,반려동물용품,화성시,37.17207623,127.104078
강아지고양이편의점 걸포점,반려동물용품,김포시,37.63518749,126.707013
강아지고양이편의점 동탄점,반려동물용품,화성시,37.20177577,127.103249
강아지고양이편의점 분당정자점,반려동물용품,성남시,37.37019684,127.110085
강아지고양이편의점 석수점,반려동물용품,안양시,37.41600703,126.912902
강아지고양이편의점 양주옥정점,반려동물용품,양주시,37.82121755,127.097614
강아지고양이편의점 일산가로수길점,반려동물용품,고양시,37.66606251,126.756436
강아지고양이편의점 평촌점,반려동물용품,안양시,37.38456652,126.963911
강아지고양이편의점 평택점,반려동물용품,평택시,36.99221174,127.124592
강아지고양이편의점 하남미사점,반려동물용품,하남시,37.56014966,127.186621
강아지고양이편의점 호매실,반려동물용품,수원시,37.27135702,126.957135
강아지공간,카페,용인시,37.33290687,127.108438
강아지꼬순내,미용,평택시,37.08954074,127.052484
강아지나라동물병원,동물병원,남양주시,37.71965659,127.184182
강아지똥,미용,안양시,37.39370161,126.920672
강아지목욕탕,반려동물용품,부천시,37.50171999,126.772375
강아지미용실,미용,광주시,37.38721948,127.294874
강아지스푼,반려동물용품,파주시,37.86337492,126.825783
강아지야,미용,남양주시,37.67929792,127.210648
강아지와고양이 아울렛 포천점,반려동물용품,포천시,37.76266766,127.224533
강아지와산책,미용,시흥시,37.35817049,126.731603
강아지왈츠,미용,용인시,37.2974294,127.119287
강아지캠퍼스,반려동물용품,화성시,37.0973885,126.869501
강아지풀,미용,수원시,37.26153322,127.039524
강약국,동물약국,수원시,37.30294789,126.968637
강천섬유원지,여행지,여주시,37.23474348,127.707936
강하약국,동물약국,양평군,37.49337278,127.400784
개가사는그집,카페,파주시,37.72775258,126.734377
개가사는그집 펜션,펜션,가평군,37.73923783,127.50469
개간지 애견카페,카페,안산시,37.336637,126.809391
개군약국,동물약국,양평군,37.42612694,127.537725
개꿈꾸는고양이,반려동물용품,화성시,37.21485489,126.973354
개끌린다면,미용,평택시,36.99368666,127.096396
개님의상점,반려동물용품,광명시,37.42277,126.886946
개달당,반려동물용품,고양시,37.6886321,126.770142
개들의수다,펜션,김포시,37.60457184,126.776563
개들의정원,카페,이천시,37.1581927,127.504491
개들의집,위탁관리,시흥시,37.44537008,126.804193
개떼놀이터,식당,남양주시,37.65005161,127.190442
개떼놀이터 용인,카페,용인시,37.29852289,127.106545
개린이네,카페,용인시,37.23167734,127.116283
개린이수제베이커리,반려동물용품,김포시,37.62013723,126.711309
개모임,미용,의정부시,37.73777704,127.071906
개미남,미용,의정부시,37.74963191,127.097791
개밥도둑 구래점,반려동물용품,김포시,37.63633731,126.62239
개밥의정석,미용,평택시,37.01828521,126.916475
개밥파는고양이 구래점,반려동물용품,김포시,37.64502768,126.619354
개밥파는고양이 일산백석점,반려동물용품,고양시,37.63929643,126.787923
개밥파는고양이 하남미사점,반려동물용품,하남시,37.56201736,127.19033
개밥파는남자,반려동물용품,양주시,37.78458039,127.029118
개밥포차,반려동물용품,양주시,37.87976337,127.033074
개밥하우스,미용,고양시,37.66555154,126.81597
개벤져스,미용,남양주시,37.64769744,127.23618
개순이상점,반려동물용품,하남시,37.5386462,127.208686
개스타하우스,카페,고양시,37.70055446,126.800071
개스트살롱,미용,안양시,37.37517035,126.958132
개스트하우스,반려동물용품,안산시,37.3008951,126.87272
개아저씨,반려동물용품,파주시,37.72991952,126.747254
개예쁨,미용,파주시,37.72232922,126.73923
개울가 오토 캠핑장,펜션,가평군,37.60300317,127.494925
개이득 화성점,반려동물용품,화성시,37.12572704,126.921353
개이발소,미용,포천시,37.83309864,127.148703
개이뻐,미용,포천시,37.89868543,127.204789
개이쁜날,미용,안성시,37.09002164,127.47733
개이쁨,미용,화성시,37.19352227,127.066605
개이커리,반려동물용품,안산시,37.33091205,126.827239
개이크,반려동물용품,김포시,37.65312484,126.685691
개자리펫할인마트,반려동물용품,양주시,37.84164602,127.066541
개정촌,카페,시흥시,37.34500872,126.737047
개좋은세상,미용,고양시,37.66187591,126.765902
개털깎는남자,카페,안양시,37.39151118,126.944251
개토피아,카페,고양시,37.63295849,126.831962
개판오분전,반려동물용품,여주시,37.30140577,127.655909
개팔자상팔자,반려동물용품,군포시,37.3600291,126.942188
개편한세상,반려동물용품,파주시,37.71066379,126.738245
개편한세상,미용,의정부시,37.73765133,127.092026
개포동물병원,동물병원,양평군,37.54525498,127.317689
갤럭시펫,반려동물용품,화성시,37.19902851,127.113161
갯골생태공원,여행지,시흥시,37.38979099,126.781255
갱스터도그 용인점,미용,용인시,37.29787288,127.080146
개in샵,미용,평택시,37.00504116,127.101202
거부기 동물병원,동물병원,고양시,37.66187591,126.765902
거북당약국,동물약국,김포시,37.64204221,126.678524
건강100세세종약국,동물약국,부천시,37.48055206,126.791581
건강나눔약국,동물약국,수원시,37.29683104,127.012937
건강누리약국,동물약국,수원시,37.29176853,126.997859
건강당약국,동물약국,동두천시,37.90019173,127.052958
건강동물약국,동물약국,남양주시,37.65757194,127.289615
건강드림약국,동물약국,고양시,37.63037445,126.869478
건강드림약국,동물약국,수원시,37.27894359,127.044842
건강백세약국,동물약국,성남시,37.35035674,127.106672
건강약국,동물약국,성남시,37.43358089,127.158846
건강약국,동물약국,안양시,37.40556997,126.971472
건강약국,동물약국,용인시,37.29389558,127.120751
건강온누리약국,동물약국,남양주시,37.65729731,127.30328
건강온누리약국,동물약국,부천시,37.48052147,126.792066
건강온누리약국,동물약국,수원시,37.27354352,126.955518
건강이열리는약국,동물약국,안산시,37.3419474,126.815994
건강종합약국,동물약국,화성시,37.07955818,126.858514
건강프라자약국,동물약국,김포시,37.59754115,126.72463
건강플러스 만보약국,동물약국,수원시,37.29498051,126.994116
건강플러스동물약국,동물약국,안산시,37.3119176,126.828939
건강플러스약국,동물약국,남양주시,37.71163386,127.186776
건강플러스약국,동물약국,시흥시,37.34524898,126.725174
건강하개 수제간식,반려동물용품,안산시,37.30823977,126.870941
건강한 약국,동물약국,광명시,37.47279195,126.851541
건강한백세약국,동물약국,용인시,37.16501246,127.311432
건강한세상약국,동물약국,안산시,37.31099573,126.82911
건강한약국,동물약국,고양시,37.67727587,126.769603
건강한약국,동물약국,의정부시,37.74298754,127.057068
건강한약국,동물약국,시흥시,37.37846402,126.785269
건국 동물병원,동물병원,성남시,37.44205172,127.134657
건국동물병원,동물병원,구리시,37.59241183,127.134385
건우동물병원,동물병원,양주시,37.87530742,127.023465
건일약국,동물약국,동두천시,37.90873157,127.054394
게코스토리,반려동물용품,고양시,37.63572325,126.833165
겟백,반려동물용품,하남시,37.51704421,127.146747
견공간샵,미용,하남시,37.56883885,127.185194
견복궁,카페,김포시,37.66184771,126.679314
견사월드,반려동물용품,이천시,37.3396156,127.48174
견생견샵,미용,평택시,36.99289075,127.119562
견생공방,반려동물용품,고양시,37.66606251,126.756436
견생냥품 광명도덕산공원점,반려동물용품,광명시,37.47011893,126.854593
견생냥품 무인24시 고양 지축동점,반려동물용품,고양시,37.65290421,126.914971
견생냥품 무인24시 김포장기동점,반려동물용품,김포시,37.64775044,126.662925
견생냥품 무인24시 남양주다산역점,반려동물용품,남양주시,37.62362153,127.152203
견생냥품 무인24시 동탄영천동점,반려동물용품,화성시,37.20967885,127.102974
견생냥품 무인24시 봉담메트로점,반려동물용품,화성시,37.22435794,126.946386
견생냥품 무인24시 삼송신원동점,반려동물용품,고양시,37.6642962,126.889985
견생냥품 무인24시 수지 동천동점,반려동물용품,용인시,37.34474889,127.091532
견생냥품 무인24시 안산초지역점,반려동물용품,안산시,37.32345845,126.805743
견생냥품 무인24시 안성아양점,반려동물용품,안성시,37.00707019,127.257677
견생냥품 무인24시 양주옥정동점,반려동물용품,양주시,37.82216278,127.092206
견생냥품 무인24시 용인죽전점,반려동물용품,용인시,37.33149737,127.125078
견생냥품 무인24시 의정부민락동점,반려동물용품,의정부시,37.74403614,127.09686
견생냥품 무인24시 이천 창전동점,반려동물용품,이천시,37.27836691,127.450566
견생냥품 무인24시 일산주엽점,반려동물용품,고양시,37.67436935,126.763387
견생냥품 무인24시 일산킨텍스점,반려동물용품,고양시,37.66295737,126.751378
견생냥품 별내 별가람역점,반려동물용품,남양주시,37.6669077,127.116567
견생냥품 신길동점,반려동물용품,안산시,37.3310426,126.786297
견생냥품 용인흥덕점,반려동물용품,용인시,37.27499151,127.071496
견생냥품 파주 금릉역점,반려동물용품,파주시,37.75198676,126.767262
견생냥품 하남파라곤점,반려동물용품,하남시,37.56396126,127.1936
견생냥품무인24시 시흥조남동점,반려동물용품,시흥시,37.38111952,126.862466
견생냥품무인24시 여주홍문동점,반려동물용품,여주시,37.29400233,127.636288
견생_실,미용,안양시,37.41498954,126.908415
견생미생,미용,화성시,37.21211057,127.050422
견우동물병원,동물병원,광주시,37.39103289,127.230126
견제과,반려동물용품,안산시,37.29237087,126.859973
경기 동물 영상 센터,동물병원,수원시,37.29537157,127.009804
경기대학교소성박물관,박물관,수원시,37.29801369,127.033117
경기도 도우미견나눔센터,동물병원,화성시,37.17371491,126.787377
경기도 야생동물 구조관리센터,동물병원,평택시,37.13202674,127.11833
경기도미술관,미술관,안산시,37.32507855,126.80999
경기도박물관,박물관,용인시,37.26818786,127.108653
경기도어린이박물관,박물관,용인시,37.26818786,127.108653
경기도자박물관,박물관,광주시,37.35028278,127.334786
경기동물메디컬센터,동물병원,오산시,37.14300425,127.074071
경기동물병원,동물병원,동두천시,37.90221449,127.052833
경기동물병원,동물병원,가평군,37.73584803,127.415939
경기동물병원,동물병원,평택시,37.06005376,127.054633
경기동물전문병원,동물병원,이천시,37.27714318,127.444617
경기반려동물실용전문학원,미용,수원시,37.25190413,127.075244
경기북부야생동물구조관리센터,동물병원,연천군,38.00241363,127.020876
경기북부어린이박물관,박물관,동두천시,37.94457481,127.064321
경기사이언스,반려동물용품,용인시,37.30042804,127.24888
경기아트센터,문예회관,수원시,37.26158333,127.03757
경기약국,동물약국,광주시,37.39312715,127.231544
경기약국,동물약국,화성시,37.20989371,126.818145
경기중앙동물병원,동물병원,안양시,37.38782688,126.930911
경동메디칼약국,동물약국,안산시,37.32692857,126.844162
경묘한상점,반려동물용품,수원시,37.28689132,127.030648
경민약국,동물약국,성남시,37.34968098,127.10775
경서동물병원,동물병원,고양시,37.60080057,126.872914
경서프라자약국,동물약국,김포시,37.64419792,126.627325
경인약국,동물약국,부천시,37.4841112,126.779942
경희대학교 혜정박물관,박물관,용인시,37.23980015,127.081199
경희행복한약국,동물약국,고양시,37.62353923,126.834769
계림약국,동물약국,화성시,37.19442384,127.074935
고강녹십자약국,동물약국,부천시,37.52735745,126.816297
고강동물병원,동물병원,부천시,37.52688271,126.815833
고고애견용품,반려동물용품,고양시,37.70233598,126.824473
고고펫,반려동물용품,파주시,37.71562586,126.69862
고구려대장간마을,박물관,구리시,37.56080787,127.110949
고대영동물병원,동물병원,안산시,37.32646308,126.84705
고도독,반려동물용품,시흥시,37.37095018,126.810117
고래 동물병원,동물병원,시흥시,37.43740381,126.80216
고려동물병원,동물병원,파주시,37.75555546,126.768898
고려동물병원,동물병원,하남시,37.54650089,127.214633
고려동물병원,동물병원,수원시,37.29500994,127.009283
고려동물병원,동물병원,안성시,37.01226764,127.32201
고려동물병원,동물병원,화성시,37.2221341,126.974576
고려생약국,동물약국,이천시,37.27925493,127.437825
고려애견종합병원,동물병원,성남시,37.44121906,127.14401
고려약국,동물약국,고양시,37.68641896,126.770473
고모저수지,여행지,포천시,37.79407652,127.165042
고방동물병원,동물병원,이천시,37.26092957,127.475874
고병기동물병원,동물병원,수원시,37.24982102,127.022701
고색약국,동물약국,수원시,37.24244482,126.984107
고아웃포즈,반려동물용품,수원시,37.2647881,127.036603
고약국,동물약국,안양시,37.36999045,126.957639
고양 우리아이 동물병원,동물병원,고양시,37.70541293,126.902479
고양가와지볍씨박물관,박물관,고양시,37.6497779,126.870086
고양덕양동물약국,동물약국,고양시,37.64813373,126.884309
고양동물병원,동물병원,고양시,37.70107735,126.901824
고양동물약국,동물약국,고양시,37.64961664,126.875531
고양로봇박물관,박물관,고양시,37.69013206,126.855305
고양새물약국,동물약국,고양시,37.70365653,126.90221
고양스타약국 스타필드지하1층약국,동물약국,고양시,37.64697712,126.894778
고양시 동물보호센터,동물병원,고양시,37.6497779,126.870086
고양시문예회관,문예회관,고양시,37.65841333,126.83196
고양아람누리,문예회관,고양시,37.6614856,126.774458
고양애견미용학원,미용,고양시,37.65954588,126.769655
고양어린이박물관,박물관,고양시,37.62948078,126.830949
고양어울림누리,문예회관,고양시,37.64905648,126.835368
고양이가 행복한 동네,반려동물용품,광주시,37.47141518,127.380247
고양이개탄날 봉담본점,반려동물용품,화성시,37.223569,126.945424
고양이공화국 물류센터,반려동물용품,광주시,37.42134788,127.3096
고양이를 부탁해,카페,군포시,37.36026772,126.932386
고양이목욕탕,미용,수원시,37.25879649,126.963559
고양이병원 소설,동물병원,성남시,37.41218471,127.097618
고양이용품 꾹꾹이네,반려동물용품,하남시,37.53700589,127.220125
고양이카페38.5,카페,남양주시,37.66633739,127.117557
고양이팔경캣스쿨,카페,남양주시,37.64899428,127.306752
고양이화약국,동물약국,고양시,37.70393862,126.902202
고양힐약국,동물약국,고양시,37.71712952,126.901249
고운미소약국,동물약국,부천시,37.50310506,126.781127
고운온누리약국,동물약국,안양시,37.39625673,126.965371
고은약국,동물약국,부천시,37.48447664,126.81112
고잔동 동물약국,동물약국,안산시,37.31116982,126.832458
고잔서울약국,동물약국,안산시,37.31192954,126.831037
고잔아는약국,동물약국,안산시,37.30870296,126.83061
고촌동물병원,동물병원,김포시,37.59895094,126.77186
고촌메디컬센타약국,동물약국,김포시,37.59347182,126.763606
곤지네상점,반려동물용품,평택시,37.07448389,127.071853
곤지암동물병원,동물병원,광주시,37.35011115,127.338391
곤지암약국,동물약국,광주시,37.3498113,127.342299
곤지암행복동물병원,동물병원,광주시,37.35336929,127.331567
골든햄스터,반려동물용품,용인시,37.28025154,127.232281
곰돌이약국,동물약국,고양시,37.64861259,126.895796
곰약국,동물약국,안양시,37.41515862,126.909179
곰온누리약국,동물약국,안산시,37.30070678,126.863575
공감 동물의료센터,동물병원,수원시,37.27402969,127.047585
공감인약국,동물약국,하남시,37.5637312,127.191742
공도동물약국,동물약국,안성시,36.99984956,127.170315
공룡알화석산지,여행지,화성시,37.26222503,126.747071
공룡약국,동물약국,시흥시,37.37050442,126.727971
공방by맘마드멍,반려동물용품,고양시,37.67175112,126.784055
공복애꿀단지,미용,의정부시,37.74409117,127.051109
공원애견동물병원,동물병원,안산시,37.29000414,126.866707
공원약국,동물약국,의정부시,37.74243798,127.086341
공존하개,반려동물용품,용인시,37.32417367,127.093943
공주네애견샵,미용,양평군,37.48426151,127.594585
과천 정약국,동물약국,과천시,37.42280098,126.991954
과천시 추사박물관,박물관,과천시,37.45300477,127.028725
과천시민회관,문예회관,과천시,37.42819272,126.989152
과천우주동물병원,동물병원,과천시,37.42280098,126.991954
과천자이약국,동물약국,과천시,37.43030276,126.998975
곽박사애견마트 고양점,반려동물용품,고양시,37.68093622,126.895861
관문체육공원,여행지,과천시,37.44136421,126.996346
관양동물병원,동물병원,안양시,37.40377994,126.959271
관양우리약국,동물약국,안양시,37.40420141,126.957152
광교 기분좋은 약국,동물약국,용인시,37.29820366,127.070511
광교 백두산약국,동물약국,수원시,37.30082913,127.045195
광교 우리들동물병원,동물병원,수원시,37.28990905,127.044854
광교산동물병원,동물병원,수원시,37.29076133,127.016904
광교센트럴약국,동물약국,수원시,37.28748089,127.060178
광교약국,동물약국,수원시,37.29507604,127.027106
광교약국,동물약국,수원시,37.28394176,127.056778
광교약국,동물약국,용인시,37.29814411,127.069889
광교우리들약국,동물약국,수원시,37.27006515,127.063613
광교조은약국,동물약국,수원시,37.29215732,127.050653
광교튼튼약국,동물약국,용인시,37.2976689,127.069745
광교프라자동물약국,동물약국,수원시,37.29273762,127.050157
광교햇살약국,동물약국,수원시,37.29103336,127.066671
광교호수공원,여행지,수원시,37.28326769,127.070057
광동약국,동물약국,안성시,36.99224296,127.13893
광릉내 애견미용용품센타,미용,남양주시,37.74493617,127.204249
광릉내열린약국,동물약국,남양주시,37.74633132,127.205231
광명 24 아이디동물의료센터,동물병원,광명시,37.47605427,126.865967
광명로약국,동물약국,성남시,37.44558061,127.162218
광명마더스약국,동물약국,광명시,37.47033218,126.877374
광명시민회관,문예회관,광명시,37.47909912,126.864848
광명시반려견놀이터,여행지,광명시,37.44474476,126.894026
광명시티동물병원,동물병원,광명시,37.45059973,126.890082
광명훼미리 약국,동물약국,광명시,37.47365412,126.8514
광복온누리약국,동물약국,광명시,37.48965121,126.86558
광장약국,동물약국,성남시,37.40207678,127.10611
광장약국,동물약국,용인시,37.23160468,127.187885
광장약국,동물약국,오산시,37.14629031,127.068706
광장약국,동물약국,화성시,37.20609085,127.072451
광장온누리약국,동물약국,의정부시,37.75001611,127.11858
광적동물병원,동물병원,양주시,37.82265776,126.986425
광제당약국,동물약국,수원시,37.29712089,126.982117
광주온누리약국,동물약국,광주시,37.40963223,127.25857
광주으뜸약국,동물약국,광주시,37.40845042,127.258464
광주종로약국,동물약국,광주시,37.39299265,127.225566
광주종합동물병원,동물병원,광주시,37.37811537,127.25366
광주프라자약국,동물약국,광주시,37.41386849,127.254441
